一丁点儿 (yi1,ding1,dian3,er5)
船只 (chuan2,zhi1)
船长 (chuan2,zhang3)
良将 (liang2,jiang4)
色厉胆薄 (se4,li4,dan3,bo2)
色子 (shai3,zi3)
色差 (se4,cha1)
色晕 (se4,yun4)
色相 (se4,xiang4)
色调 (se4,diao4)
艴然不悦 (fu2,ran2,bu4,yue4)
节子 (jie1,zi3)
节骨眼 (jie1,gu3,yan3)
芋头 (yu4,tou5)
芒刺在背 (mang2,ci4,zai4,bei4)
芒种 (mang2,zhong4)
芥末 (jie4,mo4)
芥菜 (jie4,cai4)
芥蓝 (gai4,lan2)
芥蓝菜 (gai4,lan2,cai4)
芫荽 (yan2,sui1)
芯子 (xin4,zi5)
花不棱登 (hua1,bu4,leng1,deng1)
花冠 (hua1,guan1)
花呢 (hua1,ni2)
花攒锦簇 (hua1,cuan2,jin3,cu4)
花攒锦聚 (hua1,cuan2,jin3,ju4)
花朝月夕 (hua1,zhao1,yue4,xi1)
花朝月夜 (hua1,zhao1,yue4,ye4)
花簇锦攒 (hua1,cu4,jin3,cuan2)
花露 (hua1,lu4)
苌弘碧血 (chang2,hong2,bi4,xue3)
苍劲 (cang1,jing4)
苍术 (cang1,zhu2)
苍蝇见血 (cang1,ying2,jian4,xue3)
苍颜白发 (cang1,yan2,bai2,fa4)
苏打 (su1,da2)
苛政猛于虎 (ke1,zhe4,meng3,yu2,hu3)
苜蓿 (mu4,xu5)
苟合取容 (gou3,he2,qu3,an1)
苣卖菜 (qu3,mai4,cai4)
苣荬菜 (qu3,mai3,cai4)
苤蓝 (pie3,lan5)
若夫 (ruo4,fu2)
苦中作乐 (ku3,zhong1,zuo4,le4)
苦参 (ku3,shen1)
苦处 (ku3,chu3)
苦差 (ku3,chai1)
苦干 (ku3,gan4)
苦熬 (ku3,ao2)
苦难 (ku3,nan4)
苦难深重 (ku3,nan4,shen1,zhong4)
苫布 (shan4,bu4)
苫盖 (shan4,gai4)
苹果 (pin2,guo3)
茁长 (zhuo2,zhang3)
范蠡 (fan4,li3)
茄子 (qie2,zi5)
茅塞顿开 (mao2,se4,dun4,kai1)
茅舍 (mao2,she4)
茎干 (jing1,gan4)
茜茜公主 (xi1,xi1,gong1,zhu3)
茜草 (xi1,cao3)
茱萸 (zhu1,yu4)
茶几 (cha2,ji1)
茶瓯 (cha1,ou1)
茶铛 (cha2,cheng1)
茹毛饮血 (ru2,mao2,yin3,xue4)
荆棘塞途 (jing1,ji2,se4,tu2)
草创 (cao3,chuang4)
草率 (cao3,shuai4)
草率将事 (cao3,lv4,jiang1,shi4)
草苫 (cao3,shan1)
草长莺飞 (cao3,zhang3,ying1,fei1)
荞面饸饹 (qiao2,mian4,he2,le5)
荤粥 (xun1,zhou1)
荨麻 (xun2,ma2)
荨麻疹 (xun2,ma2,zhen3)
荫凉 (yin4,liang2)
荫子封妻 (yin4,zi3,feng1,qi1)
荫庇 (yin4,bi4)
药铺 (yao4,pu4)
荷尔蒙 (he2,er3,meng2)
荷枪实弹 (he4,qiang1,shi2,tan2)
荷载 (he4,zai3)
荷重 (he4,zhong4)
荷锄 (he4,chu2)
荸荠 (bi2,qi2)
莎草 (suo1,cao3)
莘庄 (xin1,zhuang1)
莞尔 (wan3,er3)
莞尔一笑 (wan3,er3,yi2,xiao4)
莞莞 (wan3,wan3)
莨绸 (liang2,chou2)
莫不是 (mo4,bu2,shi4)
莫为已甚 (mo4,wei2,yi3,shen4)
莫予毒也 (mo4,yu4,du2,ye3)
莫此为甚 (mo4,ci3,wei2,shen4)
莫知所为 (mo4,zhi1,suo3,wei2)
莫衷一是 (mo4,zhong1,yi2,shi4)
莲花落 (lian2,hua1,lao4)
莳罗 (shi2,luo2)
莳萝 (shi2,luo2)
获隽公车 (huo4,jun1,gong1,che1)
莺吟燕儛 (ying1,yin2,yan4,sai1)
莺飞草长 (ying1,fei1,cao3,zhang3)
菲仪 (fei3,yi2)
菲材 (fei3,cai2)
菲礼 (fei3,li3)
菲薄 (fei3,bo2)
菲食薄衣 (fei3,shi2,bo2,yi1)
萍飘蓬转 (ping2,piao1,peng2,zhuan4)
萎靡 (wei3,mi3)
萝卜 (luo2,bo5)
营蝇斐锦 (ying2,ying2,fei1,jin3)
落下 (la4,xia4)
落不是 (luo4,bu2,shi4)
落了 (la4,le5)
落价 (lao4,jia4)
落发 (luo4,fa4)
落子 (lao4,zi3)
落得 (luo4,de5)
落枕 (lao4,zhen3)
落炕 (lao4,kang4)
落膘 (luo4,biao1)
落色 (lao4,shai3)
落花生 (luo4,hua1,sheng1)
落草为寇 (luo4,cao3,wei2,kou4)
落落难合 (luo4,luo4,nan2,he2)
落难 (luo4,nan4)
落魄 (luo4,tuo4)
落魄不偶 (luo5,tuo4,bu4,ou5)
落魄不羁 (luo4,po4,bu4,ji1)
落魄江湖 (luo4,po4,jing1,hu2)
葛屦履霜 (ge3,ju4,lv3,shuang1)
葛布 (ge2,bu4)
葛藤 (ge2,teng2)
董事长 (dong3,shi4,zhang3)
葫芦 (hu2,lu5)
葱头 (cong1,tou5)
蒙事 (meng1,shi4)
蒙以养正 (meng2,yi3,yang3,zheng4)
蒙冤 (meng2,yuan1)
蒙受 (meng2,shou4)
蒙古人种 (meng3,gu3,ren2,zhong3)
蒙古包 (meng3,gu3,bao1)
蒙古大夫 (meng3,gu3,dai4,fu1)
蒙古文 (meng3,gu3,wen2)
蒙古族 (meng3,gu3,zu2)
蒙古语 (meng3,gu3,yu3)
蒙哄 (meng1,hong1)
蒙在鼓里 (meng2,zai4,gu3,li3)
蒙垢 (meng2,gou4)
蒙太奇 (meng2,tai4,qi2)
蒙头转向 (meng1,tou2,zhuan3,xiang4)
蒙尘 (meng2,chen2)
蒙师 (meng2,shi1)
蒙得维的亚 (meng2,de5,wei2,de5,ya4)
蒙恩 (meng2,en1)
蒙昧 (meng2,mei4)
蒙汗药 (meng2,han4,yao4)
蒙混 (meng2,hun4)
蒙皮 (meng2,pi2)
蒙眬 (meng2,long2)
蒙着 (meng1,zhao2)
蒙着锅儿 (meng1,zhe5,guo1,er5)
蒙羞 (meng2,xiu1)
蒙胧 (meng2,long2)
蒙药 (meng2,yao4)
蒙蒙 (meng2,meng2)
蒙蒙亮 (meng2,meng1,liang4)
蒙蒙细雨 (meng2,meng2,xi4,yu3)
蒙蒙黑 (meng1,meng1,hei1)
蒙蔽 (meng2,bi4)
蒙袂辑屦 (meng2,mei4,ji2,ju4)
蒙难 (meng2,nan4)
蒙面 (meng2,mian4)
蒙骗 (meng1,pian4)
蒜头 (suan4,tou5)
蒸沙为饭 (zheng1,sha1,wei2,fan4)
蒸馏 (zheng1,liu2)
蒸馏水 (zheng1,liu2,shui3)
蓍占 (shi1,zhan1)
蓝调 (lan2,diao4)
蔓延 (man4,yan2)
蔚为大观 (wei4,wei2,da4,guan1)
蔚县 (yu4,xian4)
蔽明塞聪 (bi4,ming2,se4,cong1)
蕃王 (fan1,wang2)
薄产 (bo2,chan3)
薄利 (bo2,li4)
薄利多销 (bo2,li4,duo1,xiao1)
薄命 (bo2,ming4)
薄命佳人 (bo2,ming4,jia1,ren2)
薄寒中人 (bo2,han2,zhong4,ren2)
薄幸 (bo2,xing4)
薄弱 (bo2,ruo4)
薄待 (bao2,dai4)
薄情 (bo2,qing2)
薄情无义 (bao2,qing2,wu2,yi4)
薄技 (bo2,ji4)
薄技在身 (bo2,ji4,zai4,shen1)
薄晓 (bo2,xiao3)
薄暮 (bo2,mu4)
薄暮冥冥 (bo2,mu4,ming2,ming2)
薄片 (bao2,pian4)
薄物细故 (bo2,wu4,xi4,gu4)
薄田 (bao2,tian2)
薄荷 (bo4,he2)
薄荷脑 (bo4,he4,nao3)
薄酒 (bao2,jiu3)
薄酬 (bo2,chou2)
薄雾 (bo2,wu4)
薄饼 (bao2,bing3)
薏苡蒙谤 (yi4,yi3,meng2,bang4)
薪给 (xin1,ji3)
薮中荆曲 (sou3,zhong1,ji2,qu3)
薯莨 (shu3,liang2)
藏人 (zang4,ren2)
藏历 (zang4,li4)
藏头露尾 (cang2,tou2,lu4,wei3)
藏府 (zang4,fu3)
藏戏 (zang4,xi4)
藏掖 (cang2,ye1)
藏掖躲闪 (cang2,ye1,duo3,shan3)
藏族 (zang4,zu2)
藏獒 (zang4,ao2)
藏红花 (zang4,hong2,hua1)
藏药 (zang4,yao4)
藏蓝 (zang4,lan2)
藏踪蹑迹 (cang2,zong1,nie4,ji1)
藏青 (zang4,qing1)
藤蔓 (teng2,wan4)
虎将 (hu3,jiang4)
虎背熊腰 (hu3,bei4,xiong2,yao1)
虎贲 (hu3,ben1)
虎跑 (hu3,pao2)
虚与委蛇 (xu1,yu3,wei1,yi2)
虚应故事 (xu1,ying4,gu4,shi4)
虚晃一枪 (xiu4,huang4,yi1,qiang1)
虱处裈中 (shi1,chu3,kun1,zhong1)
虱子 (shi1,zi5)
虾兵蟹将 (xia1,bing1,xie4,jiang4)
虾子 (xia1,zi5)
虾蟆 (ha2,ma2)
蚁拥蜂攒 (yi3,yong1,feng1,cuan2)
蚁聚蜂攒 (yi3,ju4,feng1,cuan2)
蚁集蜂攒 (yi3,ji2,feng1,cuan2)
蚂蚁啃骨头 (ma3,yi3,ken3,gu2,tou5)
蚂蚱 (ma4,zha4)
蚂螂 (ma1,lang2)
蚊子 (wen2,zi5)
蚌埠 (beng4,bu4)
蚶子 (han1,zi5)
蛇蝎为心 (she2,xie1,wei2,xin1)
蛏子 (cheng1,zi5)
蛤蚌 (ge2,bang4)
蛤蚧 (ge2,jie4)
蛤蜊 (ge2,li2)
蛤蟆 (ha2,ma5)
蛤蟆镜 (ha2,ma2,jing4)
蛮干 (man2,gan4)
蛮横 (man2,heng4)
蛾子 (e2,zi5)
蜂扇蚁聚 (feng1,shan1,yi3,ju4)
蜂攒蚁聚 (feng1,cuan2,yi3,ju4)
蜂攒蚁集 (feng1,cuan2,yi3,ji2)
蜂腰削背 (feng1,yao1,xue1,bei4)
蜂腰猿背 (feng1,yao1,yuan2,bei4)
蜜露 (mi4,lu4)
蜷曲 (quan2,qu1)
蝇攒蚁聚 (ying2,cuan2,yi3,ju4)
蝇攒蚁附 (ying2,cuan2,yi3,fu4)
蝍蛆 (ji2,ju1)
蝎子 (xie1,zi5)
蝎蝎螫螫 (xie1,xie1,zhe1,zhe1)
融为一体 (rong2,wei2,yi4,ti3)
融洽无间 (rong2,qia4,wu2,jian4)
螓首蛾眉 (qin2,shou3,er2,mei2)
螳臂当车 (tang2,bi4,dang1,che1)
螺丝起子 (luo2,si1,qi3,zi5)
螺杆 (luo2,gan3)
蟠曲 (pan2,qu1)
蠡县 (li3,xian4)
蠹居棊处 (du4,ju1,que4,chu3)
蠹居棋处 (du4,ju1,qi2,chu3)
血丝 (xue4,si1)
血中毒 (xue4,zhong4,du2)
血书 (xue4,shu1)
血亏 (xue4,kui1)
血亲 (xue4,qin1)
血仇 (xue4,chou2)
血债 (xue4,zhai4)
血债累累 (xue4,zhai4,lei3,lei3)
血光之灾 (xue4,guang1,zhi1,zai1)
血凝固 (xue4,ning2,gu4)
血刃 (xue4,ren4)
血勇之人 (xue4,yong3,zhi1,ren2)
血印 (xue4,yin4)
血压 (xue4,ya1)
血压正常 (xue4,ya1,zheng4,chang2)
血压计 (xue4,ya1,ji4)
血压高升 (xue4,ya1,gao1,sheng1)
血友病 (xue4,you3,bing4)
血友病患者 (xue4,you3,bing4,huan4,zhe3)
血口 (xue4,kou3)
血口喷人 (xue4,kou3,pen1,ren2)
血吸虫 (xue4,xi1,chong2)
血吸虫病 (xue4,xi1,chong2,bing4)
血嗣 (xue4,si4)
血块 (xue4,kuai4)
血型 (xue4,xing2)
血型分类 (xue4,xing2,fen1,lei4)
血小板 (xue4,xiao3,ban3)
血小板病 (xue4,xiao3,ban3,bing4)
血尿 (xue4,niao4)
血尿素 (xue4,niao4,su4)
血崩 (xue4,beng1)
血崩症 (xue4,beng1,zheng4)
血库 (xue4,ku4)
血循环 (xue4,xun2,huan2)
血性 (xue4,xing4)
血性男儿 (xue4,xing4,nan2,er2)
血战 (xue4,zhan4)
血斑 (xue4,ban1)
血晕 (xie3,yun4)
血本 (xue4,ben3)
血本无归 (xue4,ben3,wu2,gui1)
血枯病 (xue4,ku1,bing4)
血染沙场 (xue4,ran3,sha1,chang3)
血栓 (xue4,shuan1)
血栓形成 (xue4,shuan1,xing2,cheng2)
血栓心内膜炎 (xue4,shuan1,xin1,nei4,mo2,yan2)
血栓栓塞 (xue4,shuan1,shuan1,se4)
血栓脉管炎 (xue4,shuan1,mai4,guan3,yan2)
血样 (xue4,yang4)
血案 (xue4,an4)
血气 (xue4,qi4)
血气之勇 (xue4,qi4,zhi1,yong3)
血气方刚 (xue4,qi4,fang1,gang1)
血水 (xue4,shui3)
血汗 (xue4,han4)
血汗工厂 (xue4,han4,gong1,chang3)
血污 (xue4,wu1)
血沉 (xue4,chen2)
血沉实验 (xue4,chen2,shi2,yan4)
血沉淀素 (xue4,chen2,dian4,su4)
血沉素 (xue4,chen2,su4)
血泊 (xue4,po1)
血泡 (xue4,pao4)
血泪 (xue4,lei4)
血洗 (xue4,xi3)
血流 (xue4,liu2)
血流动力学 (xue4,liu2,dong4,li4,xue2)
血流如注 (xue4,liu2,ru2,zhu4)
血流成河 (xue4,liu2,cheng2,he2)
血流漂杵 (xue4,liu2,piao1,chu3)
血浆 (xue4,jiang1)
血浆蛋白 (xue4,jiang1,dan4,bai2)
血浓于水 (xue4,nong2,yu2,shui3)
血海 (xue4,hai3)
血海深仇 (xue4,hai3,shen1,chou2)
血液 (xue4,ye4)
血液学 (xue4,ye4,xue2)
血液循环 (xue4,ye4,xun2,huan2)
血液病 (xue4,ye4,bing4)
血液透析 (xue4,ye4,tou4,xi1)
血液透析器 (xue4,ye4,tou4,xi1,qi4)
血淋淋 (xie3,lin1,lin1)
血清 (xue4,qing1)
血清型 (xue4,qing1,xing2)
血清性肝炎 (xue4,qing1,xing4,gan1,yan2)
血清病 (xue4,qing1,bing4)
血清白蛋白 (xue4,qing1,bai2,dan4,bai2)
血清素 (xue4,qing1,su4)
血渍 (xue4,zi4)
血球 (xue4,qiu2)
血球计数器 (xue4,qiu2,ji4,shu4,qi4)
血痂 (xue4,jia1)
血痕 (xue4,hen2)
血痢 (xue4,li4)
血痨 (xue4,lao2)
血瘕 (xue4,jia3)
血癌 (xue4,ai2)
血盆大口 (xue4,pen2,da4,kou3)
血祭 (xue4,ji4)
血竭 (xue4,jie2)
血管 (xue4,guan3)
血管再造 (xue4,guan3,zai4,zao4)
血管切除术 (xue4,guan3,qie1,chu2,shu4)
血管扩张 (xue4,guan3,kuo4,zhang1)
血管收缩 (xue4,guan3,shou1,suo1)
血管梗阻 (xue4,guan3,geng3,zu3)
血管炎 (xue4,guan3,yan2)
血管病 (xue4,guan3,bing4)
血管痉挛 (xue4,guan3,jing4,luan2)
血管瘤 (xue4,guan3,liu2)
血管破裂 (xue4,guan3,po4,lie4)
血管硬化 (xue4,guan3,ying4,hua4)
血管紧张 (xue4,guan3,jin3,zhang1)
血管膜 (xue4,guan3,mo2)
血管舒张 (xue4,guan3,shu1,zhang1)
血管造影 (xue4,guan3,zao4,ying3)
血粉 (xue4,fen3)
血糖 (xue4,tang2)
血糖低 (xue4,tang2,di1)
血糖高 (xue4,tang2,gao1)
血红 (xue4,hong2)
血红素 (xue4,hong2,su4)
血红色 (xue4,hong2,se4)
血红蛋白 (xue4,hong2,dan4,bai2)
血细胞 (xue4,xi4,bao1)
血统 (xue4,tong3)
血缘 (xue4,yuan2)
血肉 (xue4,rou4)
血肉之躯 (xue4,rou4,zhi1,qu1)
血肉模糊 (xue4,rou4,mo2,hu2)
血肉横飞 (xue4,rou4,heng2,fei1)
血肉相连 (xue4,rou4,xiang1,lian2)
血肿 (xue4,zhong3)
血脂 (xue4,zhi1)
血脉 (xue4,mai4)
血脉不畅 (xue4,mai4,bu2,chang4)
血脉相通 (xue4,mai4,xiang1,tong1)
血腥 (xue4,xing1)
血腥味 (xue4,xing1,wei4)
血腥屠杀 (xue4,xing1,tu1,sha1)
血腥统治 (xue4,xing1,tong3,zhi4)
血腥镇压 (xue4,xing1,zhen4,ya1)
血色 (xue4,se4)
血色素 (xue4,se4,su4)
血花 (xue4,hua1)
血虚 (xue4,xu1)
血衣 (xue4,yi1)
血证 (xue4,zheng4)
血豆腐 (xie3,dou4,fu5)
血象 (xue4,xiang4)
血账 (xue4,zhang4)
血路 (xue4,lu4)
血迹 (xue4,ji4)
血迹斑斑 (xue4,ji4,ban1,ban1)
血道子 (xie3,dao4,zi5)
血量 (xue4,liang4)
血防 (xue4,fang2)
血雨腥风 (xue4,yu3,xing1,feng1)
血风肉雨 (xue4,feng1,rou4,yu3)
行不胜衣 (xing2,bu4,sheng4,yi1)
行业 (hang2,ye4)
行为 (xing2,wei2)
行伍 (hang2,wu3)
行会 (hang2,hui4)
行侠好义 (xing2,xia2,hao4,yi4)
行列 (hang2,lie4)
行号 (hang2,hao2)
行号卧泣 (xing2,hao2,wo4,qi4)
行号巷哭 (xing2,hao2,xiang4,ku1)
行商 (hang2,shang1)
行头 (xing2,tou5)
行家 (hang2,jia1)
行家里手 (hang2,jia1,li3,shou3)
行市 (hang2,shi4)
行帮 (hang2,bang1)
行当 (hang2,dang4)
行情 (hang2,qing2)
行成于思 (xing2,cheng2,yu2,si1)
行行出状元 (hang2,hang2,chu1,zhuang4,yuan2)
行行蛇蚓 (hang2,hang2,she2,yin3)
行规 (hang2,gui1)
行话 (hang2,hua4)
行货 (hang2,huo4)
行贾 (xing2,gu3)
行距 (hang2,ju4)
行辈 (hang2,bei4)
行道 (hang2,dao4)
行道树 (hang2,dao4,shu4)
行都 (xing2,du1)
行间 (hang2,jian1)
行间字里 (hang2,jian1,zi4,li3)
衒玉贾石 (zui4,yu4,jia3,shi2)
衡量 (heng2,liang2)
衣冠 (yi4,guan1)
衣冠冢 (yi4,guan1,zhong3)
衣冠土枭 (yi1,guan1,tu3,xiao1)
衣冠枭獍 (yi1,guan1,xiao1,jing4)
衣冠楚楚 (yi1,guan1,chu3,chu3)
衣冠礼乐 (yi1,guan4,li3,le4)
衣冠禽兽 (yi1,guan1,qin2,shou4)
衣单食薄 (yi1,dan1,shi2,bo2)
衣服 (yi1,fu5)
衣租食税 (yi4,zu1,shi2,shui4)
衣绣昼行 (yi4,xiu4,zhou4,xing2)
衣被群生 (yi4,bei4,qun2,sheng1)
衣裳 (yi1,shang5)
衣裳之会 (yi1,shang1,zhi1,hui4)
衣轻乘肥 (yi4,qing1,cheng2,fei2)
衣锦夜行 (yi4,jin3,ye4,xing2)
衣锦昼行 (yi4,jin3,zhou4,xing2)
衣锦过乡 (yi4,jin3,guo4,xiang1)
衣锦还乡 (yi4,jin3,huan2,xiang1)
衣锦食肉 (yi4,jin3,shi2,rou4)
补假 (bu3,jia4)
补种 (bu3,zhong4)
补给 (bu3,ji3)
补血 (bu3,xue4)
表率 (biao3,shuai4)
表瓤子 (biao3,rang2,zi5)
表蒙子 (biao3,meng2,zi3)
表里为奸 (biao3,li3,wei2,jian1)
表里相应 (biao3,li3,xiang1,ying4)
表露 (biao3,lu4)
衰乏 (cui1,fa2)
衰少 (cui1,shao3)
衰衣 (cui1,yi1)
袅娜 (niao3,nuo2)
袋子 (dai4,zi5)
袍子 (pao2,zi5)
袒胸露背 (tan3,xiong1,lu4,bei4)
袒胸露臂 (tan3,xiong1,lu4,bi4)
袒露 (tan3,lu4)
袜子 (wa4,zi5)
被发左衽 (pi1,fa4,zuo3,ren4)
被发文身 (pi1,fa4,wen2,shen1)
被发缨冠 (pi1,fa4,ying1,guan4)
被子 (bei4,zi5)
被山带河 (pi1,shan1,dai4,he2)
被泽蒙庥 (bei4,ze2,meng2,xiu1)
被甲执兵 (pi1,jia3,zhi2,bing1)
被甲持兵 (pi1,jia3,chi2,bing1)
被甲据鞍 (pi1,jia3,ju4,an1)
被甲枕戈 (pi1,jia3,zhen3,ge1)
被称为 (bei4,cheng1,wei2)
被褐怀玉 (pi1,he4,huai2,yu4)
被褐怀珠 (pi1,he4,huai2,zhu1)
被视为 (bei4,shi4,wei2)
被评为 (bei4,ping2,wei2)
被难 (bei4,nan4)
袷袢 (qia1,pan4)
裁处 (cai2,chu3)
裁度 (cai2,duo2)
裂缝 (lie4,feng4)
裂裳衣疮 (lie4,shang2,yi1,chuang1)
装在闷葫芦里 (zhuang1,zai4,men4,hu2,lu5,li3)
装孙子 (zhuang1,sun1,zi5)
装模作样 (zhuang1,mu2,zuo4,yang4)
装载 (zhuang1,zai4)
裙子 (qun2,zi5)
裤子 (ku4,zi5)
裤缝 (ku4,feng4)
裤衩 (ku4,cha3)
裨将 (pi2,jiang4)
裨益 (bi4,yi4)
裨补 (bi4,bu3)
裱糊 (biao3,hu2)
裳裳 (chang2,chang2)
裸露 (luo3,lu4)
裹血力战 (guo3,xue4,li4,zhan4)
褎然冠首 (you4,ran2,guan4,shou3)
褒衣危冠 (bao1,yi1,wei1,guan1)
褒贬与夺 (bao3,bian3,yu3,duo2)
褥子 (ru4,zi5)
褪去 (tun4,qu4)
褪色 (tui4,shai3)
褶子 (zhe3,zi5)
西乐 (xi1,yue4)
西洋参 (xi1,yang2,shen1)
西藏 (xi1,zang4)
要不是 (yao4,bu2,shi4)
要价还价 (yao4,jia4,huan2,jia4)
要击 (yao1,ji1)
要塞 (yao4,sai4)
要好 (yao1,hao3)
要得 (yao4,de5)
要挟 (yao1,xie2)
要求 (yao1,qiu2)
要面子 (yao4,mian4,zi5)
覆没 (fu4,mo4)
覆盆子 (fu4,pen2,zi5)
见世面 (xian4,shi4,mian4)
见义勇为 (jian4,yi4,yong3,wei2)
见义当为 (jian4,yi4,dang1,wei2)
见义必为 (jian4,yi4,bi4,wei2)
见义敢为 (jian4,yi4,gan3,wei2)
见几而作 (jian4,ji1,er2,zuo4)
见哭兴悲 (jian4,ku1,xing1,bei1)
见幾而作 (jian4,ji1,er2,zuo4)
见弃于人 (jian4,qi4,yu3,ren2)
见弹求鸮 (jian4,dan4,qiu2,hao2)
见弹求鹗 (jian4,dan4,qiu2,e4)
见得 (jian4,de5)
见所不见 (jian4,suo3,bu4,jian4)
见死不救 (jian4,si3,bu2,jiu4)
见物不见人 (jian4,wu4,bu4,jian4,ren2)
见素抱朴 (xian4,su4,bao4,pu3)
见缝就钻 (jian4,feng4,jiu4,zuan1)
见缝插针 (jian4,feng4,cha1,zhen1)
见背 (jian4,bei4)
见长 (jian4,zhang3)
观今宜鉴古 (guan1,jin1,yi4,jian4,gu3)
规划 (gui1,hua4)
规旋矩折 (gui1,xuan2,ju3,she2)
规矩 (gui1,ju5)
规重矩叠 (gui1,chong2,ju3,die2)
视为儿戏 (shi4,wei2,er2,xi4)
视为寇雠 (shi4,wei2,kou4,chou2)
视为畏途 (shi4,wei2,wei4,tu2)
视为知己 (shi4,wei2,zhi1,ji3)
视差 (shi4,cha1)
视微知著 (shi4,wei1,zhi1,zhuo2)
视而不见 (shi4,er2,bu2,jian4)
觉得 (jue2,de5)
角力 (jue2,li4)
角斗 (jue2,dou4)
角立杰出 (jiao4,li5,jie5,chu5)
角色 (jue2,se4)
角逐 (jue2,zhu2)
解人难得 (jie3,ren2,nan2,de2)
解元 (jie4,yuan2)
解发佯狂 (jie3,fa4,yang2,kuang2)
解差 (jie4,cha1)
解弦更张 (jie3,xian2,geng1,zhang1)
解数 (xie4,shu4)
解款 (jie4,kuan3)
解法 (xie4,fa3)
解禁 (jie3,jin4)
解衣槃磅 (jie3,yi1,pan2,pang2)
解衣盘磅 (jie3,yi1,pan2,pang2)
解衣衣人 (jie4,yi1,yi1,ren2)
解送 (jie4,song4)
解铃系铃 (jie3,ling2,ji4,ling2)
解铃还需系铃人 (jie3,ling2,hai2,xu1,ji4,ling2,ren2)
解难 (jie3,nan4)
触处机来 (chu4,chu3,ji1,lai2)
触物兴怀 (chu4,wu4,xing1,huai2)
触目兴叹 (chu4,mu4,xing1,tan4)
言不由衷 (yan2,bu2,you2,zhong1)
言不逮意 (yan2,bu4,dai3,yi4)
言为心声 (yan2,wei2,xin1,sheng1)
言之过早 (yan2,zhi4,guo4,zao3)
言差语错 (yan2,cha1,yu3,cuo4)
言必有中 (yan2,bi4,you3,zhong4)
言行一致 (yan2,xing2,yi1,zhi4)
言词恳切 (yan2,ci2,ken3,qie4)
言重九鼎 (yan2,zhong4,jiu3,ding3)
詈夷为跖 (li4,yi2,wei2,zhi2)
謷牙诘屈 (ao2,ya2,jie2,qu1)
计划 (ji4,hua4)
计尽力穷 (ji4,jin4,li4,qiong2)
计深虑远 (ji4,sheng1,lv4,yuan3)
计量 (ji4,liang2)
认为 (ren4,wei2)
认影为头 (ren4,ying3,wei2,tou2)
认得 (ren4,de5)
认识 (ren4,shi5)
认识论 (ren4,shi5,lun4)
认贼为子 (ren4,zei2,wei2,zi3)
认贼为父 (ren4,zei2,wei2,fu4)
讨价还价 (tao3,jia4,huan2,jia4)
讨便宜 (tao3,bian4,yi2)
讨还 (tao3,huan2)
议长 (yi4,zhang3)
记得 (ji4,de5)
记载 (ji4,zai3)
讳树数马 (hui4,shu4,shu4,ma3)
讹误 (e4,wu4)
论处 (lun4,chu3)
论语 (lun2,yu3)
论调 (lun4,diao4)
论难 (lun4,nan4)
论黄数白 (lun4,huang2,shu4,bai2)
设心处虑 (she4,xin1,chu3,lv4)
设身处地 (she4,shen1,chu3,di4)
访查 (fang3,zha1)
诃子 (he1,zi5)
评传 (ping2,zhuan4)
评卷 (ping2,juan4)
识微知著 (shi2,wei1,zhi1,zhuo2)
识时务者为俊杰 (shi2,shi2,wu4,zhe3,wei2,jun4,jie2)
识相 (shi2,xiang4)
识记 (zhi4,ji4)
诈降 (zha4,xiang2)
词甚切激 (ci2,shen4,qie4,ji1)
词调 (ci2,diao4)
诎要桡腘 (qu1,yao4,rao2,yu4)
试卷 (shi4,juan4)
试种 (shi4,zhong4)
诗书发冢 (shi1,shu1,fa4,zhong3)
诗行 (shi1,hang2)
诘屈 (ji2,qu1)
诘屈磝碻 (jie2,qu1,bing4,zhou4)
诘屈聱牙 (ji2,qu1,ao2,ya2)
诘屈謷牙 (jie2,qu1,da4,ya2)
诘朝 (ji2,chao2)
诚朴 (cheng2,piao2)
话匣子 (hua4,xia2,zi5)
话把儿 (hua4,ba4,er5)
诞谩不经 (dan4,man4,bu4,jing1)
询查 (xun2,zha1)
该着 (gai1,zhao2)
详星拜斗 (xiang2,xing1,bai4,dou3)
诪张为幻 (zhou1,zhang1,wei2,huan4)
诬良为盗 (wu1,liang2,wei2,dao4)
语不惊人 (yu3,bu4,jing1,ren4)
语塞 (yu3,se4)
语笑喧阗 (yu3,xiao4,xuan1,tian1)
语调 (yu3,diao4)
误以为 (wu4,yi3,wei2)
误作非为 (wu4,zuo4,fei1,wei2)
误差 (wu4,cha1)
诱降 (you4,xiang2)
诲人不倦 (hui4,ren2,bu2,juan4)
诲人不惓 (hui4,ren2,bu4,tie3)
说不着 (shuo1,bu4,zhao2)
说头儿 (shuo1,tou5,er5)
说客 (shui4,ke4)
说得来 (shuo1,de5,lai2)
说服 (shui4,fu2)
说漂亮话 (shuo1,piao4,liang4,hua4)
说项 (shui4,xiang4)
请假 (qing3,jia4)
请将不如激将 (qing3,jiang4,bu4,ru2,ji1,jiang4)
请帖 (qing3,tie3)
请调 (qing3,diao4)
请降 (qing3,xiang2)
诸宫调 (zhu1,gong1,diao4)
诸葛 (zhu1,ge3)
读书君子 (du2,shu1,jun1,zi3)
读书种子 (du2,shu1,zhong3,zi3)
读数 (du2,shu4)
课卷 (ke4,juan4)
课嘴撩牙 (ke4,zui3,liao2,ya2)
谁的 (shei2,de5)
谁都 (shei2,dou1)
